TIMESTAMP,POWER
20131101 1:00,0.17954965
20131101 2:00,0.08031428
20131101 3:00,0.05631388
20131101 4:00,0.053618364
20131101 5:00,0.08116959
20131101 6:00,0.16749501
20131101 7:00,0.325492
20131101 8:00,0.23783745
20131101 9:00,0.08880686
20131101 10:00,0.018806571
20131101 11:00,0.036123473
20131101 12:00,0.03853388
20131101 13:00,0.031345855
20131101 14:00,0.051683128
20131101 15:00,0.035492793
20131101 16:00,0.018806571
20131101 17:00,0.018806571
20131101 18:00,0.018806571
20131101 19:00,0.018806571
20131101 20:00,0.049272723
20131101 21:00,0.24634448
20131101 22:00,0.46110192
20131101 23:00,0.488111
20131102 0:00,0.3509881
20131102 1:00,0.31596673
20131102 2:00,0.43517652
20131102 3:00,0.37604216
20131102 4:00,0.7210307
20131102 5:00,0.7084401
20131102 6:00,0.7188034
20131102 7:00,0.6125713
20131102 8:00,0.7766657
20131102 9:00,0.7546671
20131102 10:00,0.6391435
20131102 11:00,0.5657947
20131102 12:00,0.5373491
20131102 13:00,0.36498994
20131102 14:00,0.4036897
20131102 15:00,0.21021712
20131102 16:00,0.4408556
20131102 17:00,0.42356643
20131102 18:00,0.5490012
20131102 19:00,0.4353446
20131102 20:00,0.4223567
20131102 21:00,0.45862368
20131102 22:00,0.201474
20131102 23:00,0.24818456
20131103 0:00,0.2445762
20131103 1:00,0.3467556
20131103 2:00,0.2441097
20131103 3:00,0.20950869
20131103 4:00,0.28303215
20131103 5:00,0.3069211
20131103 6:00,0.31053093
20131103 7:00,0.4625301
20131103 8:00,0.494479
20131103 9:00,0.30064383
20131103 10:00,0.27071068
20131103 11:00,0.58447844
20131103 12:00,0.7832797
20131103 13:00,0.8574169
20131103 14:00,0.8920595
20131103 15:00,0.9470907
20131103 16:00,0.94621557
20131103 17:00,0.9294228
20131103 18:00,0.9166333
20131103 19:00,0.9393095
20131103 20:00,0.869002
20131103 21:00,0.88731104
20131103 22:00,0.91192824
20131103 23:00,0.9424116
20131104 0:00,0.9226901
20131104 1:00,0.91213626
20131104 2:00,0.8349053
20131104 3:00,0.6033639
20131104 4:00,0.32332948
20131104 5:00,0.28330985
20131104 6:00,0.30707255
20131104 7:00,0.35147613
20131104 8:00,0.32252166
20131104 9:00,0.37172404
20131104 10:00,0.46064827
20131104 11:00,0.7534148
20131104 12:00,0.9358089
20131104 13:00,0.91747385
20131104 14:00,0.957402
20131104 15:00,0.955747
20131104 16:00,0.9413199
20131104 17:00,0.94843376
20131104 18:00,0.95814717
20131104 19:00,0.9514925
20131104 20:00,0.93387663
20131104 21:00,0.9206105
20131104 22:00,0.8267949
20131104 23:00,0.7777427
20131105 0:00,0.8221678
20131105 1:00,0.5645346
20131105 2:00,0.45253292
20131105 3:00,0.18276094
20131105 4:00,0.097878285
20131105 5:00,0.035449594
20131105 6:00,0.018806571
20131105 7:00,0.018806571
20131105 8:00,0.018806571
20131105 9:00,0.06451272
20131105 10:00,0.21726692
20131105 11:00,0.28822395
20131105 12:00,0.30481747
20131105 13:00,0.3172878
20131105 14:00,0.3489097
20131105 15:00,0.3316178
20131105 16:00,0.30149367
20131105 17:00,0.36055547
20131105 18:00,0.5117597
20131105 19:00,0.45442316
20131105 20:00,0.5247056
20131105 21:00,0.5158426
20131105 22:00,0.6554162
20131105 23:00,0.6129745
20131106 0:00,0.51301986
20131106 1:00,0.34202662
20131106 2:00,0.17514093
20131106 3:00,0.13064773
20131106 4:00,0.09670333
20131106 5:00,0.072003126
20131106 6:00,0.051950954
20131106 7:00,0.08267286
20131106 8:00,0.07631421
20131106 9:00,0.04107388
20131106 10:00,0.108634405
20131106 11:00,0.1871325
20131106 12:00,0.22096461
20131106 13:00,0.23766467
20131106 14:00,0.39548197
20131106 15:00,0.6128569
20131106 16:00,0.2176384
20131106 17:00,0.018806571
20131106 18:00,0.018806571
20131106 19:00,0.100055434
20131106 20:00,0.44832405
20131106 21:00,0.2865242
20131106 22:00,0.20912856
20131106 23:00,0.2064244
20131107 0:00,0.08297523
20131107 1:00,0.09981352
20131107 2:00,0.14664802
20131107 3:00,0.44030115
20131107 4:00,0.5028799
20131107 5:00,0.24756134
20131107 6:00,0.14933488
20131107 7:00,0.5778921
20131107 8:00,0.58351237
20131107 9:00,0.25842172
20131107 10:00,0.75391906
20131107 11:00,0.3293122
20131107 12:00,0.27500463
20131107 13:00,0.75018734
20131107 14:00,0.6219972
20131107 15:00,0.54455703
20131107 16:00,0.8881776
20131107 17:00,0.4078314
20131107 18:00,0.59956664
20131107 19:00,0.56560993
20131107 20:00,0.73362964
20131107 21:00,0.86849076
20131107 22:00,0.86592597
20131107 23:00,0.840087
20131108 0:00,0.76774514
20131108 1:00,0.7673837
20131108 2:00,0.48717853
20131108 3:00,0.70222896
20131108 4:00,0.8361618
20131108 5:00,0.9062007
20131108 6:00,0.8675203
20131108 7:00,0.83064216
20131108 8:00,0.7804602
20131108 9:00,0.67105883
20131108 10:00,0.59553415
20131108 11:00,0.40825143
20131108 12:00,0.46572247
20131108 13:00,0.31982902
20131108 14:00,0.44648424
20131108 15:00,0.41336766
20131108 16:00,0.3953896
20131108 17:00,0.4228523
20131108 18:00,0.3281342
20131108 19:00,0.38729104
20131108 20:00,0.43447927
20131108 21:00,0.31249154
20131108 22:00,0.11205564
20131108 23:00,0.11359346
20131109 0:00,0.2703888
20131109 1:00,0.21926263
20131109 2:00,0.17559882
20131109 3:00,0.18358168
20131109 4:00,0.26561216
20131109 5:00,0.2881398
20131109 6:00,0.40127864
20131109 7:00,0.5090714
20131109 8:00,0.48330572
20131109 9:00,0.60793394
20131109 10:00,0.45506164
20131109 11:00,0.4921855
20131109 12:00,0.5810508
20131109 13:00,0.6331873
20131109 14:00,0.5935516
20131109 15:00,0.56433296
20131109 16:00,0.48223874
20131109 17:00,0.49755368
20131109 18:00,0.59787804
20131109 19:00,0.5881749
20131109 20:00,0.5648538
20131109 21:00,0.5362738
20131109 22:00,0.4831293
20131109 23:00,0.7249474
20131110 0:00,0.6536184
20131110 1:00,0.41286358
20131110 2:00,0.2906221
20131110 3:00,0.2628088
20131110 4:00,0.2191244
20131110 5:00,0.24989206
20131110 6:00,0.2685425
20131110 7:00,0.3035889
20131110 8:00,0.3990272
20131110 9:00,0.35776183
20131110 10:00,0.31247467
20131110 11:00,0.30246136
20131110 12:00,0.4841458
20131110 13:00,0.66695917
20131110 14:00,0.7905275
20131110 15:00,0.6822069
20131110 16:00,0.7054481
20131110 17:00,0.70411164
20131110 18:00,0.5553439
20131110 19:00,0.38227567
20131110 20:00,0.22911161
20131110 21:00,0.18423828
20131110 22:00,0.1727046
20131110 23:00,0.21426903
20131111 0:00,0.19031182
20131111 1:00,0.16044523
20131111 2:00,0.21418262
20131111 3:00,0.22815263
20131111 4:00,0.22585452
20131111 5:00,0.28522834
20131111 6:00,0.27909413
20131111 7:00,0.22648521
20131111 8:00,0.18770269
20131111 9:00,0.6437137
20131111 10:00,0.7308896
20131111 11:00,0.4939665
20131111 12:00,0.4022868
20131111 13:00,0.41623238
20131111 14:00,0.28602773
20131111 15:00,0.24504139
20131111 16:00,0.14180128
20131111 17:00,0.03236531
20131111 18:00,0.04009762
20131111 19:00,0.082621016
20131111 20:00,0.02858987
20131111 21:00,0.018806571
20131111 22:00,0.018806571
20131111 23:00,0.018806571
20131112 0:00,0.07577857
20131112 1:00,0.13209917
20131112 2:00,0.12405584
20131112 3:00,0.18131813
20131112 4:00,0.22829086
20131112 5:00,0.23424345
20131112 6:00,0.3062732
20131112 7:00,0.4146614
20131112 8:00,0.5281332
20131112 9:00,0.710138
20131112 10:00,0.55094177
20131112 11:00,0.40206835
20131112 12:00,0.33397388
20131112 13:00,0.46120277
20131112 14:00,0.6140247
20131112 15:00,0.50912184
20131112 16:00,0.38046107
20131112 17:00,0.31086752
20131112 18:00,0.22280481
20131112 19:00,0.1503457
20131112 20:00,0.119390525
20131112 21:00,0.05487973
20131112 22:00,0.02415783
20131112 23:00,0.018806571
20131113 0:00,0.018806571
20131113 1:00,0.018806571
20131113 2:00,0.018806571
20131113 3:00,0.018806571
20131113 4:00,0.018806571
20131113 5:00,0.021669693
20131113 6:00,0.05040449
20131113 7:00,0.13909712
20131113 8:00,0.31224748
20131113 9:00,0.49928436
20131113 10:00,0.33059123
20131113 11:00,0.2990787
20131113 12:00,0.4663609
20131113 13:00,0.5357025
20131113 14:00,0.26211432
20131113 15:00,0.22105962
20131113 16:00,0.21192773
20131113 17:00,0.11004265
20131113 18:00,0.16208671
20131113 19:00,0.2575903
20131113 20:00,0.49820897
20131113 21:00,0.5659291
20131113 22:00,0.40295044
20131113 23:00,0.33153367
20131114 0:00,0.278421
20131114 1:00,0.06912619
20131114 2:00,0.018806571
20131114 3:00,0.034196872
20131114 4:00,0.26219055
20131114 5:00,0.48780861
20131114 6:00,0.5585363
20131114 7:00,0.33792874
20131114 8:00,0.29320535
20131114 9:00,0.17245406
20131114 10:00,0.071657546
20131114 11:00,0.1880742
20131114 12:00,0.32232812
20131114 13:00,0.31806195
20131114 14:00,0.30399284
20131114 15:00,0.31290385
20131114 16:00,0.39659092
20131114 17:00,0.32184848
20131114 18:00,0.33668336
20131114 19:00,0.27585152
20131114 20:00,0.3060712
20131114 21:00,0.3922812
20131114 22:00,0.34346548
20131114 23:00,0.31515053
20131115 0:00,0.2219927
20131115 1:00,0.19127943
20131115 2:00,0.21850234
20131115 3:00,0.40863788
20131115 4:00,0.37145522
20131115 5:00,0.29033598
20131115 6:00,0.1254036
20131115 7:00,0.02919463
20131115 8:00,0.047639865
20131115 9:00,0.3371378
20131115 10:00,0.27283645
20131115 11:00,0.23651561
20131115 12:00,0.3230013
20131115 13:00,0.5326445
20131115 14:00,0.75561684
20131115 15:00,0.77372104
20131115 16:00,0.89287394
20131115 17:00,0.90614
20131115 18:00,0.9008198
20131115 19:00,0.89661723
20131115 20:00,0.87222534
20131115 21:00,0.83208054
20131115 22:00,0.7552723
20131115 23:00,0.74618655
20131116 0:00,0.61342824
20131116 1:00,0.3333512
20131116 2:00,0.10432333
20131116 3:00,0.028062861
20131116 4:00,0.04110844
20131116 5:00,0.07850864
20131116 6:00,0.089463465
20131116 7:00,0.12590468
20131116 8:00,0.21713732
20131116 9:00,0.3356736
20131116 10:00,0.45753154
20131116 11:00,0.6209555
20131116 12:00,0.5255709
20131116 13:00,0.53437513
20131116 14:00,0.41541746
20131116 15:00,0.39687654
20131116 16:00,0.43089208
20131116 17:00,0.3878791
20131116 18:00,0.33492473
20131116 19:00,0.33327547
20131116 20:00,0.2795401
20131116 21:00,0.22189765
20131116 22:00,0.14520523
20131116 23:00,0.15970223
20131117 0:00,0.1705361
20131117 1:00,0.05007619
20131117 2:00,0.026620075
20131117 3:00,0.021359917
20131117 4:00,0.020244798
20131117 5:00,0.018806571
20131117 6:00,0.018806571
20131117 7:00,0.018806571
20131117 8:00,0.018806571
20131117 9:00,0.032201163
20131117 10:00,0.17833751
20131117 11:00,0.14912754
20131117 12:00,0.14657027
20131117 13:00,0.1386047
20131117 14:00,0.19200516
20131117 15:00,0.19281726
20131117 16:00,0.19400087
20131117 17:00,0.1784153
20131117 18:00,0.16315803
20131117 19:00,0.17325753
20131117 20:00,0.12172318
20131117 21:00,0.08006373
20131117 22:00,0.06529027
20131117 23:00,0.04708694
20131118 0:00,0.06861646
20131118 1:00,0.053998508
20131118 2:00,0.06490149
20131118 3:00,0.067398295
20131118 4:00,0.047648504
20131118 5:00,0.05335918
20131118 6:00,0.045315854
20131118 7:00,0.037246604
20131118 8:00,0.07778292
20131118 9:00,0.079942785
20131118 10:00,0.12599972
20131118 11:00,0.041056603
20131118 12:00,0.018806571
20131118 13:00,0.018806571
20131118 14:00,0.018806571
20131118 15:00,0.04823599
20131118 16:00,0.1886012
20131118 17:00,0.2879715
20131118 18:00,0.13067366
20131118 19:00,0.05972646
20131118 20:00,0.21019985
20131118 21:00,0.38723224
20131118 22:00,0.4018751
20131118 23:00,0.37138805
20131119 0:00,0.35898194
20131119 1:00,0.45956454
20131119 2:00,0.4661509
20131119 3:00,0.23109004
20131119 4:00,0.07770517
20131119 5:00,0.08485863
20131119 6:00,0.09526054
20131119 7:00,0.13922672
20131119 8:00,0.11594338
20131119 9:00,0.08503143
20131119 10:00,0.06368333
20131119 11:00,0.100029506
20131119 12:00,0.43148014
20131119 13:00,0.70951605
20131119 14:00,0.8428858
20131119 15:00,0.77989656
20131119 16:00,0.8618707
20131119 17:00,0.8604756
20131119 18:00,0.6163517
20131119 19:00,0.14313176
20131119 20:00,0.1503457
20131119 21:00,0.4305728
20131119 22:00,0.66161615
20131119 23:00,0.26803437
20131120 0:00,0.123235084
