TIMESTAMP,POWER
20131101 1:00,0.26712543
20131101 2:00,0.28300017
20131101 3:00,0.2922734
20131101 4:00,0.2972325
20131101 5:00,0.29942513
20131101 6:00,0.29983607
20131101 7:00,0.29871362
20131101 8:00,0.29598236
20131101 9:00,0.29167205
20131101 10:00,0.2858597
20131101 11:00,0.27886376
20131101 12:00,0.27104285
20131101 13:00,0.26290125
20131101 14:00,0.25499862
20131101 15:00,0.24786082
20131101 16:00,0.2417782
20131101 17:00,0.23683673
20131101 18:00,0.23308778
20131101 19:00,0.2305154
20131101 20:00,0.22909799
20131101 21:00,0.22883329
20131101 22:00,0.22963479
20131101 23:00,0.2313613
20131102 0:00,0.23382619
20131102 1:00,0.23685548
20131102 2:00,0.24021235
20131102 3:00,0.24358091
20131102 4:00,0.24671786
20131102 5:00,0.24943534
20131102 6:00,0.25154832
20131102 7:00,0.25295234
20131102 8:00,0.2536299
20131102 9:00,0.2536345
20131102 10:00,0.25306636
20131102 11:00,0.25205407
20131102 12:00,0.25071803
20131102 13:00,0.24918473
20131102 14:00,0.24758229
20131102 15:00,0.24602929
20131102 16:00,0.24461168
20131102 17:00,0.24338786
20131102 18:00,0.24240974
20131102 19:00,0.24171326
20131102 20:00,0.24131459
20131102 21:00,0.24121031
20131102 22:00,0.24137896
20131102 23:00,0.24178399
20131103 0:00,0.24237749
20131103 1:00,0.2431044
20131103 2:00,0.24390686
20131103 3:00,0.24472821
20131103 4:00,0.24551655
20131103 5:00,0.24622762
20131103 6:00,0.2468267
20131103 7:00,0.24728677
20131103 8:00,0.24758682
20131103 9:00,0.2477246
20131103 10:00,0.2477113
20131103 11:00,0.24756756
20131103 12:00,0.24732044
20131103 13:00,0.24700081
20131103 14:00,0.24664055
20131103 15:00,0.2462677
20131103 16:00,0.24590322
20131103 17:00,0.24556772
20131103 18:00,0.2452789
20131103 19:00,0.2450499
20131103 20:00,0.24488895
20131103 21:00,0.2447991
20131103 22:00,0.24477878
20131103 23:00,0.24482214
20131104 0:00,0.24491996
20131104 1:00,0.24506053
20131104 2:00,0.24523073
20131104 3:00,0.24541703
20131104 4:00,0.24560626
20131104 5:00,0.24578655
20131104 6:00,0.24594784
20131104 7:00,0.24608234
20131104 8:00,0.2461847
20131104 9:00,0.24625227
20131104 10:00,0.24628477
20131104 11:00,0.24628413
